,searchTerm,Location,Content,Post Date,Post Year
0,#PleaseFixMaadi  since:2023-01-01,NA,"#PleaseFixMaadi
This is a test tweet for @SafeYelli Pothole at 4th main e block Rajajinagar.  https://t.co/DEkO7rPQoM",2023-03-04 15:06:09+00:00,2023
1,#PleaseFixMaadi  since:2023-01-01,"(13.107805, 77.5727916)","This is a test tweet for a multi platform data aggregator for @safeyelli at https://t.co/zQOET5yoyz

#PleaseFixMaadi this road leading to the 5th /4th phase Yelahanka bus depot, the loose jalli at the turn leads to many bike accidents. https://t.co/RWeOV6joxP @BBMPCOMM",2023-03-04 07:29:02+00:00,2023
